#SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	Location	Sex	Age	Color	Combined	Description
R3475	R3475_S14_L001_R1_001.fastq.gz	R3475_S14_L001_R2_001.fastq.gz	1	AK	F	J	Red	R	3475
R3476	R3476_S56_L001_R1_001.fastq.gz	R3476_S56_L001_R2_001.fastq.gz	1	AK	M	A	Red	R	3476
R3478	R3478_S24_L001_R1_001.fastq.gz	R3478_S24_L001_R2_001.fastq.gz	0	AK	F	A	Red	R	3478
R3480	R3480_S94_L001_R1_001.fastq.gz	R3480_S94_L001_R2_001.fastq.gz	1	AK	M	J	Red	R	3480
R3481	R3481_S30_L001_R1_001.fastq.gz	R3481_S30_L001_R2_001.fastq.gz	0	AK	M	A	Red	R	3481
R3482	R3482_S17_L001_R1_001.fastq.gz	R3482_S17_L001_R2_001.fastq.gz	1	AK	F	A	Red	R	3482
R3484	R3484_S72_L001_R1_001.fastq.gz	R3484_S72_L001_R2_001.fastq.gz	0	AK	F	J	Red	R	3484
R3486	R3486_S41_L001_R1_001.fastq.gz	R3486_S41_L001_R2_001.fastq.gz	0	AK	M	J	Red	R	3486
R3487	R3487_S63_L001_R1_001.fastq.gz	R3487_S63_L001_R2_001.fastq.gz	1	AK	F	J	Red	R	3487
R3488	R3488_S74_L001_R1_001.fastq.gz	R3488_S74_L001_R2_001.fastq.gz	1	AK	M	A	Red	R	3488
R3489	R3489_S60_L001_R1_001.fastq.gz	R3489_S60_L001_R2_001.fastq.gz	0	AK	M	A	Red	R	3489
R3492	R3492_S71_L001_R1_001.fastq.gz	R3492_S71_L001_R2_001.fastq.gz	0	AK	M	J	Red	R	3492
R3494	R3494_S8_L001_R1_001.fastq.gz	R3494_S8_L001_R2_001.fastq.gz	0	AK	F	A	Red	R	3494
R3506	R3506_S46_L001_R1_001.fastq.gz	R3506_S46_L001_R2_001.fastq.gz	0	AK	M	J	Red	R	3506
R3507	R3507_S58_L001_R1_001.fastq.gz	R3507_S58_L001_R2_001.fastq.gz	1	AK	M	A	Red	R	3507
R3508	R3508_S87_L001_R1_001.fastq.gz	R3508_S87_L001_R2_001.fastq.gz	0	AK	M	J	Red	R	3508
R3509	R3509_S31_L001_R1_001.fastq.gz	R3509_S31_L001_R2_001.fastq.gz	1	AK	M	J	Red	R	3509
R3512	R3512_S69_L001_R1_001.fastq.gz	R3512_S69_L001_R2_001.fastq.gz	1	AK	F	J	Red	R	3512
W2996	W2996_S4_L001_R1_001.fastq.gz	W2996_S4_L001_R2_001.fastq.gz	1	AK	F	J	White	W	2996
W3433	W3433_S88_L001_R1_001.fastq.gz	W3433_S88_L001_R2_001.fastq.gz	0	AK	F	A	White	W	3433
W3438	W3438_S70_L001_R1_001.fastq.gz	W3438_S70_L001_R2_001.fastq.gz	1	AK	M	J	White	W	3438
W3439	W3439_S32_L001_R1_001.fastq.gz	W3439_S32_L001_R2_001.fastq.gz	1	AK	M	J	White	W	3439
W3443	W3443_S3_L001_R1_001.fastq.gz	W3443_S3_L001_R2_001.fastq.gz	1	AK	F	J	White	W	3443
W3445	W3445_S18_L001_R1_001.fastq.gz	W3445_S18_L001_R2_001.fastq.gz	0	AK	F	J	White	W	3445
W3449	W3449_S64_L001_R1_001.fastq.gz	W3449_S64_L001_R2_001.fastq.gz	1	AK	F	A	White	W	3449
W3450	W3450_S73_L001_R1_001.fastq.gz	W3450_S73_L001_R2_001.fastq.gz	1	AK	M	A	White	W	3450
W3468	W3468_S28_L001_R1_001.fastq.gz	W3468_S28_L001_R2_001.fastq.gz	0	AK	F	A	White	W	3468
W3469	W3469_S23_L001_R1_001.fastq.gz	W3469_S23_L001_R2_001.fastq.gz	0	AK	M	A	White	W	3469
W3470	W3470_S53_L001_R1_001.fastq.gz	W3470_S53_L001_R2_001.fastq.gz	0	AK	F	J	White	W	3470
W3471	W3471_S22_L001_R1_001.fastq.gz	W3471_S22_L001_R2_001.fastq.gz	0	AK	M	A	White	W	3471
W3472	W3472_S78_L001_R1_001.fastq.gz	W3472_S78_L001_R2_001.fastq.gz	0	AK	F	J	White	W	3472
W3474	W3474_S48_L001_R1_001.fastq.gz	W3474_S48_L001_R2_001.fastq.gz	1	AK	F	J	White	W	3474
W3475	W3475_S11_L001_R1_001.fastq.gz	W3475_S11_L001_R2_001.fastq.gz	1	AK	F	J	White	W	3475
W3476	W3476_S39_L001_R1_001.fastq.gz	W3476_S39_L001_R2_001.fastq.gz	1	AK	M	A	White	W	3476
W3478	W3478_S52_L001_R1_001.fastq.gz	W3478_S52_L001_R2_001.fastq.gz	0	AK	F	A	White	W	3478
W3480	W3480_S76_L001_R1_001.fastq.gz	W3480_S76_L001_R2_001.fastq.gz	1	AK	M	J	White	W	3480
W3481	W3481_S83_L001_R1_001.fastq.gz	W3481_S83_L001_R2_001.fastq.gz	0	AK	M	A	White	W	3481
W3482	W3482_S86_L001_R1_001.fastq.gz	W3482_S86_L001_R2_001.fastq.gz	1	AK	F	A	White	W	3482
W3484	W3484_S5_L001_R1_001.fastq.gz	W3484_S5_L001_R2_001.fastq.gz	0	AK	F	J	White	W	3484
W3486	W3486_S92_L001_R1_001.fastq.gz	W3486_S92_L001_R2_001.fastq.gz	0	AK	M	J	White	W	3486
W3487	W3487_S43_L001_R1_001.fastq.gz	W3487_S43_L001_R2_001.fastq.gz	1	AK	F	J	White	W	3487
W3488	W3488_S47_L001_R1_001.fastq.gz	W3488_S47_L001_R2_001.fastq.gz	1	AK	M	A	White	W	3488
W3489	W3489_S79_L001_R1_001.fastq.gz	W3489_S79_L001_R2_001.fastq.gz	0	AK	M	A	White	W	3489
W3492	W3492_S90_L001_R1_001.fastq.gz	W3492_S90_L001_R2_001.fastq.gz	0	AK	M	J	White	W	3492
W3494	W3494_S93_L001_R1_001.fastq.gz	W3494_S93_L001_R2_001.fastq.gz	0	AK	F	A	White	W	3494
W3506	W3506_S95_L001_R1_001.fastq.gz	W3506_S95_L001_R2_001.fastq.gz	0	AK	M	J	White	W	3506
W3507	W3507_S89_L001_R1_001.fastq.gz	W3507_S89_L001_R2_001.fastq.gz	1	AK	M	A	White	W	3507
W3508	W3508_S6_L001_R1_001.fastq.gz	W3508_S6_L001_R2_001.fastq.gz	0	AK	M	J	White	W	3508
W3509	W3509_S82_L001_R1_001.fastq.gz	W3509_S82_L001_R2_001.fastq.gz	1	AK	M	J	White	W	3509
